# lambda: Angstroms, f_lambda: erg/s/cm^2/Angstrom,                          Teff=8878.4K,rad=2.271Rsol.
lambda	 f_lambda
3.116990007505641188e+03	2.953344594073631468e-11
3.120078752769274161e+03	2.913156732244905871e-11
3.123170558789371171e+03	2.909203211872521063e-11
3.126265428598946983e+03	2.901048882890454981e-11
3.129363365234034973e+03	2.872788222014165993e-11
3.132464371733667122e+03	2.556853477744883613e-11
3.135568451139887202e+03	2.820676391483788332e-11
3.138675606497762601e+03	2.528914882163375908e-11
3.141785840855366132e+03	2.937192300115540615e-11
3.144899157263803318e+03	1.995602872829957076e-11
3.148015558777190108e+03	2.871192759450794871e-11
3.151135048452682440e+03	2.868755394890664972e-11
3.154257629350452135e+03	2.928802280895772529e-11
3.157383304533716910e+03	2.891335320608567158e-11
3.160512077068716735e+03	1.767240637222729316e-11
3.163643950024743390e+03	1.066688022467386144e-11
3.166778926474115906e+03	2.907122913346095645e-11
3.169917009492212401e+03	2.920293872455039748e-11
3.173058202157444612e+03	2.895121402425717211e-11
3.176202507551288363e+03	2.363126634588395175e-11
3.179349928758262195e+03	2.808863319600103680e-11
3.182500468865941912e+03	1.217769792370460781e-11
3.185654130964973319e+03	2.136016716734899761e-11
3.188810918149050849e+03	2.779832734409311217e-11
3.191970833514948026e+03	2.805479125540266653e-11
3.195133880162493824e+03	2.901087410771283469e-11
3.198300061194601767e+03	6.228358943056114540e-12
3.201469379717248557e+03	2.898690708108575886e-11
3.204641838839500451e+03	2.881877614683661891e-11
3.207817441673490976e+03	2.649397527815554082e-11
3.210996191334452305e+03	2.856956231930083849e-11
3.214178090940693437e+03	2.803439800841491951e-11
3.217363143613612010e+03	7.996996733682862061e-12
3.220551352477709770e+03	2.848680722423911125e-11
3.223742720660572104e+03	2.866559814924136541e-11
3.226937251292895326e+03	2.823919704451264960e-11
3.230134947508465757e+03	2.867886691824443128e-11
3.233335812444188377e+03	2.072146050503824758e-11
3.236539849240063177e+03	2.862349816122138548e-11
3.239747061039215168e+03	4.833438446525431437e-12
3.242957450987870288e+03	2.087178426900154933e-11
3.246171022235385408e+03	2.864195892786297858e-11
3.249387777934226051e+03	2.835553059919002982e-11
3.252607721239993225e+03	2.845841906824877206e-11
